2023-08-08 13:23:38.232 +05 [14008] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-08-08 13:28:13.017 +05 [7708] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-08-08 13:29:40.102 +05 [15840] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-08-08 13:36:49.865 +05 [1428] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
2023-08-08 13:38:43.294 +05 [11124] РћРЁРР‘РљРђ:  РЅРµРІРµСЂРЅС‹Р№ СЃРёРЅС‚Р°РєСЃРёСЃ РґР»СЏ С‚РёРїР° integer: "AI[8].Norm" (СЃРёРјРІРѕР» 74)
2023-08-08 13:38:43.294 +05 [11124] РћРџР•Р РђРўРћР :  UPDATE ai 
	                                        SET "IsPumpVibration"='AI[8].Norm' 
	                                        WHERE id=7
2023-08-08 13:40:49.486 +05 [7528] СООБЩЕНИЕ:  начата контрольная точка: time
2023-08-08 13:40:50.051 +05 [7528] СООБЩЕНИЕ:  контрольная точка завершена: записано буферов: 6 (0.0%); добавлено файлов WAL 0, удалено: 0, переработано: 0; запись=0.549 сек., синхр.=0.007 сек., всего=0.566 сек.; синхронизировано_файлов=4, самая_долгая_синхр.=0.004 сек., средняя=0.002 сек.; расстояние=21 kB, ожидалось=1386 kB
2023-08-08 14:04:09.411 +05 [20304] РЎРћРћР‘Р©Р•РќРР•:  РЅРµ СѓРґР°Р»РѕСЃСЊ РїРѕР»СѓС‡РёС‚СЊ РґР°РЅРЅС‹Рµ РѕС‚ РєР»РёРµРЅС‚Р°: An existing connection was forcibly closed by the remote host.
	
